Frequenze,Guadagni
95,	8.461538462
97,	8.846153846
99,	9.615384615
101,	10.76923077
103,	11.34615385
105,	13.07692308
106,	13.84615385
107,	14.80769231
108,	15.38461538
109,	16.92307692
110,	18.26923077
111,	19.80769231
112,	20.76923077
113,	21.73076923
114,	22.88461538
115,	23.46153846
116,	23.26923077
117,	22.88461538
118,	22.30769231
119,	21.53846154
120,	20.57692308
121,	19.23076923
122,	18.46153846
123,	17.30769231
124,	15.96153846
125,	15
127,	13.65384615
129,	12.30769231
131,	11.34615385
133,	10.19230769
135,	9.038461538
137,	7.884615385
139,	7.5
